ORCHESTRATION	Full spool-up (mock)	DTP_MOCK=1 $PY orchestrator.py --mock --no-gate
ORCHESTRATION	EOD aggregate (mock)	DTP_MOCK=1 $PY eod_report.py --mock
ORCHESTRATION	Reset mock state	reset_mock_state
ORCHESTRATION	Dry-run spool-up (real reads)	$PY orchestrator.py --dry-run --no-gate
ORCHESTRATION	Dry-run EOD aggregate (real reads)	$PY eod_report.py --dry-run
REGISTRY & MASTER SWITCH	Instance map	$PY instance_registry.py show
REGISTRY & MASTER SWITCH	Reconcile map	$PY instance_registry.py reconcile
REGISTRY & MASTER SWITCH	Swap / pin instance ID	$PY instance_registry.py swap
REGISTRY & MASTER SWITCH	Control status	$PY control_state.py status
REGISTRY & MASTER SWITCH	ENABLE control	$PY control_state.py enable
REGISTRY & MASTER SWITCH	DISABLE control	$PY control_state.py disable
FLEET (inspect & fan-out)	Fleet list	$PY fleet.py list
FLEET (inspect & fan-out)	Fleet ping	$PY fleet.py ping
FLEET (inspect & fan-out)	Run command (all running)	read -rp "Command to run on all running boxes: " fc; $PY fleet.py run "$fc"
FLEET (inspect & fan-out)	status.py + query.py      (one/all/some)	SC=$(ask_scope); $PY fleet.py run "cd $INSTALL_DIR; python status.py; echo; python query.py" $SC
FLEET (inspect & fan-out)	Pull trades.db            (one/all/some)	SC=$(ask_scope); $PY fleet.py pull db $SC
FLEET (inspect & fan-out)	Pull OHLC for a day       (one/all/some)	SC=$(ask_scope); read -rp "Day (YYYY-MM-DD, ENTER=today): " D; D="${D:-$(date +%F)}"; $PY fleet.py pull ohlc --day "$D" $SC
